samples,timestamp,label
"[{'t_us': 1444356609, 'ax': -0.88, 'ay': -0.06, 'az': -0.42, 'gx': -2.96, 'gy': 3.8, 'gz': 0.44}, {'t_us': 1444358569, 'ax': -0.89, 'ay': -0.06, 'az': -0.43, 'gx': -2.85, 'gy': 3.73, 'gz': 0.23}, {'t_us': 1444361126, 'ax': -0.88, 'ay': -0.06, 'az': -0.42, 'gx': -2.89, 'gy': 3.5, 'gz': 0.06}, {'t_us': 1444363336, 'ax': -0.89, 'ay': -0.06, 'az': -0.43, 'gx': -2.92, 'gy': 3.71, 'gz': 0.32}, {'t_us': 1444365479, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -2.92, 'gy': 3.71, 'gz': 0.32}]",2026-02-13 11:03:28,0.0
"[{'t_us': 1444461884, 'ax': -0.89, 'ay': -0.06, 'az': -0.44, 'gx': -2.92, 'gy': 3.68, 'gz': 0.08}, {'t_us': 1444464041, 'ax': -0.89, 'ay': -0.06, 'az': -0.44, 'gx': -2.69, 'gy': 3.6, 'gz': 0.0}, {'t_us': 1444466026, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -2.79, 'gy': 3.82, 'gz': -0.09}, {'t_us': 1444467973, 'ax': -0.9, 'ay': -0.05, 'az': -0.44, 'gx': -2.79, 'gy': 3.82, 'gz': -0.09}, {'t_us': 1444469932, 'ax': -0.89, 'ay': -0.05, 'az': -0.44, 'gx': -2.41, 'gy': 3.94, 'gz': -0.09}]",2026-02-13 11:03:28,0.0
"[{'t_us': 1444561411, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -1.98, 'gy': 2.95, 'gz': 0.46}, {'t_us': 1444563457, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -2.03, 'gy': 2.99, 'gz': 0.5}, {'t_us': 1444565393, 'ax': -0.88, 'ay': -0.05, 'az': -0.43, 'gx': -2.03, 'gy': 2.99, 'gz': 0.5}, {'t_us': 1444567329, 'ax': -0.89, 'ay': -0.05, 'az': -0.44, 'gx': -1.98, 'gy': 3.25, 'gz': 0.66}, {'t_us': 1444569266, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -2.02, 'gy': 3.15, 'gz': 0.52}]",2026-02-13 11:03:28,0.0
"[{'t_us': 1444659819, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -1.63, 'gy': 3.01, 'gz': 0.46}, {'t_us': 1444661947, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -1.76, 'gy': 2.82, 'gz': 0.55}, {'t_us': 1444663894, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -1.95, 'gy': 2.87, 'gz': 0.44}, {'t_us': 1444665831, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -1.94, 'gy': 2.95, 'gz': 0.44}, {'t_us': 1444667770, 'ax': -0.9, 'ay': -0.05, 'az': -0.44, 'gx': -1.94, 'gy': 2.95, 'gz': 0.44}]",2026-02-13 11:03:28,0.0
"[{'t_us': 1444761479, 'ax': -0.89, 'ay': -0.05, 'az': -0.44, 'gx': -2.17, 'gy': 2.93, 'gz': 0.24}, {'t_us': 1444763553, 'ax': -0.89, 'ay': -0.05, 'az': -0.44, 'gx': -2.32, 'gy': 2.89, 'gz': 0.23}, {'t_us': 1444765490, 'ax': -0.89, 'ay': -0.05, 'az': -0.44, 'gx': -2.29, 'gy': 3.04, 'gz': 0.4}, {'t_us': 1444767426, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -2.29, 'gy': 3.04, 'gz': 0.4}, {'t_us': 1444769362, 'ax': -0.89, 'ay': -0.04, 'az': -0.44, 'gx': -2.35, 'gy': 2.72, 'gz': 0.32}]",2026-02-13 11:03:28,0.0
"[{'t_us': 1444861075, 'ax': -0.89, 'ay': -0.05, 'az': -0.44, 'gx': -2.23, 'gy': 3.62, 'gz': 0.32}, {'t_us': 1444863181, 'ax': -0.89, 'ay': -0.05, 'az': -0.44, 'gx': -2.5, 'gy': 3.57, 'gz': 0.27}, {'t_us': 1444865159, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -2.44, 'gy': 3.62, 'gz': 0.34}, {'t_us': 1444868272, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -2.46, 'gy': 3.34, 'gz': 0.49}, {'t_us': 1444870286, 'ax': -0.89, 'ay': -0.05, 'az': -0.44, 'gx': -2.15, 'gy': 3.4, 'gz': 0.49}]",2026-02-13 11:03:28,0.0
"[{'t_us': 1444959717, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -2.9, 'gy': 3.19, 'gz': 0.52}, {'t_us': 1444961824, 'ax': -0.89, 'ay': -0.05, 'az': -0.43, 'gx': -2.92, 'gy': 3.28, 'gz': 0.41}, {'t_us': 1444963781, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -3.05, 'gy': 3.34, 'gz': 0.47}, {'t_us': 1444965709, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -3.08, 'gy': 3.51, 'gz': 0.56}, {'t_us': 1444968493, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -2.9, 'gy': 3.3, 'gz': 0.38}]",2026-02-13 11:03:28,0.0
"[{'t_us': 1445061333, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -4.12, 'gy': 2.89, 'gz': 0.32}, {'t_us': 1445063370, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -4.18, 'gy': 2.95, 'gz': 0.55}, {'t_us': 1445065306, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -4.23, 'gy': 2.75, 'gz': 0.35}, {'t_us': 1445067242, 'ax': -0.9, 'ay': -0.04, 'az': -0.44, 'gx': -4.23, 'gy': 2.75, 'gz': 0.35}, {'t_us': 1445069178, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -4.18, 'gy': 2.46, 'gz': 0.29}]",2026-02-13 11:03:28,0.0
"[{'t_us': 1445161075, 'ax': -0.89, 'ay': -0.04, 'az': -0.44, 'gx': -3.97, 'gy': 2.4, 'gz': -0.09}, {'t_us': 1445163188, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -4.0, 'gy': 2.15, 'gz': 0.29}, {'t_us': 1445165154, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -3.89, 'gy': 2.06, 'gz': 0.03}, {'t_us': 1445167093, 'ax': -0.9, 'ay': -0.04, 'az': -0.43, 'gx': -3.89, 'gy': 2.06, 'gz': 0.03}, {'t_us': 1445169049, 'ax': -0.89, 'ay': -0.04, 'az': -0.44, 'gx': -3.76, 'gy': 2.18, 'gz': -0.06}]",2026-02-13 11:03:29,0.0
"[{'t_us': 1445260762, 'ax': -0.9, 'ay': -0.04, 'az': -0.43, 'gx': -5.21, 'gy': 0.4, 'gz': 0.14}, {'t_us': 1445262788, 'ax': -0.9, 'ay': -0.04, 'az': -0.43, 'gx': -5.39, 'gy': 0.11, 'gz': -0.27}, {'t_us': 1445264734, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -5.34, 'gy': 0.08, 'gz': -0.11}, {'t_us': 1445266683, 'ax': -0.89, 'ay': -0.03, 'az': -0.43, 'gx': -5.34, 'gy': 0.08, 'gz': -0.11}, {'t_us': 1445268619, 'ax': -0.89, 'ay': -0.04, 'az': -0.43, 'gx': -5.37, 'gy': -0.43, 'gz': 0.02}]",2026-02-13 11:03:29,0.0
