samples,timestamp,label
"[{'t_us': 737256410, 'ax': -0.95, 'ay': 0.06, 'az': -0.0, 'gx': -41.5, 'gy': 5.91, 'gz': 5.71}, {'t_us': 737258366, 'ax': -0.96, 'ay': 0.06, 'az': -0.0, 'gx': -41.5, 'gy': 5.91, 'gz': 5.71}, {'t_us': 737260303, 'ax': -0.96, 'ay': 0.06, 'az': -0.01, 'gx': -41.15, 'gy': 5.74, 'gz': 5.5}, {'t_us': 737262240, 'ax': -0.96, 'ay': 0.06, 'az': -0.01, 'gx': -40.87, 'gy': 5.56, 'gz': 5.42}, {'t_us': 737264177, 'ax': -0.96, 'ay': 0.05, 'az': -0.0, 'gx': -40.73, 'gy': 5.44, 'gz': 5.51}]",2026-02-13 11:27:24,0.0
"[{'t_us': 737361204, 'ax': -0.94, 'ay': 0.06, 'az': 0.0, 'gx': -28.24, 'gy': 3.85, 'gz': 2.63}, {'t_us': 737363316, 'ax': -0.94, 'ay': 0.04, 'az': -0.0, 'gx': -28.24, 'gy': 3.85, 'gz': 2.63}, {'t_us': 737365252, 'ax': -0.94, 'ay': 0.04, 'az': -0.0, 'gx': -27.89, 'gy': 4.03, 'gz': 2.73}, {'t_us': 737367190, 'ax': -0.94, 'ay': 0.05, 'az': -0.01, 'gx': -27.56, 'gy': 3.98, 'gz': 2.49}, {'t_us': 737369132, 'ax': -0.94, 'ay': 0.05, 'az': -0.01, 'gx': -27.34, 'gy': 4.2, 'gz': 2.49}]",2026-02-13 11:27:24,0.0
"[{'t_us': 737460805, 'ax': -0.95, 'ay': 0.04, 'az': -0.01, 'gx': -15.22, 'gy': 2.02, 'gz': 0.64}, {'t_us': 737462879, 'ax': -0.95, 'ay': 0.05, 'az': -0.01, 'gx': -14.92, 'gy': 2.0, 'gz': 0.63}, {'t_us': 737464818, 'ax': -0.95, 'ay': 0.05, 'az': -0.01, 'gx': -14.78, 'gy': 1.89, 'gz': 0.56}, {'t_us': 737466762, 'ax': -0.95, 'ay': 0.05, 'az': -0.01, 'gx': -14.44, 'gy': 1.66, 'gz': 0.52}, {'t_us': 737468713, 'ax': -0.95, 'ay': 0.04, 'az': -0.0, 'gx': -14.58, 'gy': 1.82, 'gz': 0.4}]",2026-02-13 11:27:25,0.0
"[{'t_us': 737558176, 'ax': -0.96, 'ay': 0.05, 'az': -0.01, 'gx': -3.28, 'gy': -0.05, 'gz': -1.21}, {'t_us': 737560279, 'ax': -0.96, 'ay': 0.05, 'az': -0.01, 'gx': -2.81, 'gy': -0.05, 'gz': -0.98}, {'t_us': 737562215, 'ax': -0.96, 'ay': 0.05, 'az': -0.0, 'gx': -2.84, 'gy': -0.06, 'gz': -1.15}, {'t_us': 737564152, 'ax': -0.96, 'ay': 0.05, 'az': -0.0, 'gx': -2.58, 'gy': -0.47, 'gz': -1.16}, {'t_us': 737566093, 'ax': -0.96, 'ay': 0.06, 'az': -0.01, 'gx': -2.12, 'gy': -0.63, 'gz': -1.24}]",2026-02-13 11:27:25,0.0
"[{'t_us': 737659585, 'ax': -0.96, 'ay': 0.08, 'az': 0.0, 'gx': 3.95, 'gy': -1.6, 'gz': -2.63}, {'t_us': 737661717, 'ax': -0.96, 'ay': 0.08, 'az': 0.0, 'gx': 3.97, 'gy': -1.85, 'gz': -2.67}, {'t_us': 737663682, 'ax': -0.96, 'ay': 0.08, 'az': -0.0, 'gx': 4.08, 'gy': -2.02, 'gz': -2.78}, {'t_us': 737665619, 'ax': -0.95, 'ay': 0.08, 'az': 0.0, 'gx': 4.08, 'gy': -2.02, 'gz': -2.78}, {'t_us': 737667555, 'ax': -0.95, 'ay': 0.08, 'az': 0.01, 'gx': 4.32, 'gy': -2.23, 'gz': -2.47}]",2026-02-13 11:27:26,0.0
"[{'t_us': 737758525, 'ax': -0.94, 'ay': 0.07, 'az': 0.01, 'gx': 7.51, 'gy': 0.24, 'gz': -3.42}, {'t_us': 737760637, 'ax': -0.94, 'ay': 0.07, 'az': 0.01, 'gx': 7.51, 'gy': 0.24, 'gz': -3.42}, {'t_us': 737762581, 'ax': -0.94, 'ay': 0.07, 'az': 0.01, 'gx': 7.85, 'gy': 0.2, 'gz': -3.36}, {'t_us': 737764517, 'ax': -0.94, 'ay': 0.08, 'az': 0.01, 'gx': 7.69, 'gy': 0.38, 'gz': -3.4}, {'t_us': 737766454, 'ax': -0.94, 'ay': 0.08, 'az': 0.01, 'gx': 7.66, 'gy': 0.55, 'gz': -3.24}]",2026-02-13 11:27:26,0.0
"[{'t_us': 737859892, 'ax': -0.94, 'ay': 0.07, 'az': 0.03, 'gx': 6.73, 'gy': 4.47, 'gz': -3.48}, {'t_us': 737862028, 'ax': -0.94, 'ay': 0.07, 'az': 0.02, 'gx': 6.52, 'gy': 4.79, 'gz': -3.71}, {'t_us': 737863971, 'ax': -0.94, 'ay': 0.07, 'az': 0.02, 'gx': 6.7, 'gy': 4.93, 'gz': -3.56}, {'t_us': 737865909, 'ax': -0.94, 'ay': 0.06, 'az': 0.03, 'gx': 6.4, 'gy': 5.13, 'gz': -3.6}, {'t_us': 737867846, 'ax': -0.94, 'ay': 0.07, 'az': 0.02, 'gx': 6.4, 'gy': 5.13, 'gz': -3.6}]",2026-02-13 11:27:26,0.0
"[{'t_us': 737959787, 'ax': -0.94, 'ay': 0.06, 'az': 0.01, 'gx': 4.6, 'gy': 5.83, 'gz': -2.67}, {'t_us': 737961854, 'ax': -0.94, 'ay': 0.06, 'az': 0.01, 'gx': 4.6, 'gy': 5.63, 'gz': -2.49}, {'t_us': 737963792, 'ax': -0.94, 'ay': 0.06, 'az': 0.01, 'gx': 4.37, 'gy': 5.73, 'gz': -2.64}, {'t_us': 737965738, 'ax': -0.94, 'ay': 0.06, 'az': 0.0, 'gx': 4.43, 'gy': 5.69, 'gz': -2.47}, {'t_us': 737967726, 'ax': -0.94, 'ay': 0.06, 'az': 0.02, 'gx': 4.43, 'gy': 5.69, 'gz': -2.47}]",2026-02-13 11:27:26,0.0
"[{'t_us': 738059763, 'ax': -0.94, 'ay': 0.05, 'az': 0.01, 'gx': 4.76, 'gy': 3.79, 'gz': -1.27}, {'t_us': 738061803, 'ax': -0.94, 'ay': 0.06, 'az': 0.01, 'gx': 4.89, 'gy': 3.63, 'gz': -1.11}, {'t_us': 738063746, 'ax': -0.94, 'ay': 0.06, 'az': 0.01, 'gx': 4.96, 'gy': 3.31, 'gz': -1.13}, {'t_us': 738065698, 'ax': -0.95, 'ay': 0.06, 'az': 0.01, 'gx': 5.01, 'gy': 3.45, 'gz': -1.01}, {'t_us': 738067635, 'ax': -0.95, 'ay': 0.06, 'az': 0.01, 'gx': 5.01, 'gy': 3.45, 'gz': -1.01}]",2026-02-13 11:27:26,0.0
"[{'t_us': 738159801, 'ax': -0.95, 'ay': 0.05, 'az': 0.02, 'gx': 4.76, 'gy': 1.91, 'gz': -0.58}, {'t_us': 738161910, 'ax': -0.95, 'ay': 0.06, 'az': 0.02, 'gx': 4.61, 'gy': 1.59, 'gz': -0.75}, {'t_us': 738163846, 'ax': -0.95, 'ay': 0.04, 'az': 0.03, 'gx': 4.73, 'gy': 1.92, 'gz': -0.56}, {'t_us': 738165784, 'ax': -0.95, 'ay': 0.04, 'az': 0.03, 'gx': 4.89, 'gy': 2.02, 'gz': -0.87}, {'t_us': 738167743, 'ax': -0.96, 'ay': 0.05, 'az': 0.03, 'gx': 4.84, 'gy': 1.89, 'gz': -0.55}]",2026-02-13 11:27:26,0.0
